path,baseline_comparison,bytes,license_note
Sources/CopoolWidgets/Info.plist,upstream_modified,801,MIT; see LICENSE and bundled third-party notices
Tests/CopoolTests/AccountCardInteractionPresentationTests.swift,upstream_identical,1162,MIT; see LICENSE and bundled third-party notices
Tests/CopoolTests/AccountCardPresentationTests.swift,upstream_modified,15843,MIT; see LICENSE and bundled third-party notices
Tests/CopoolTests/AccountPlanLabelTests.swift,local_addition,1460,MIT; see LICENSE and bundled third-party notices
Tests/CopoolTests/AccountRankingTests.swift,upstream_identical,4620,MIT; see LICENSE and bundled third-party notices
Tests/CopoolTests/AccountSummaryPresentationTests.swift,upstream_modified,2924,MIT; see LICENSE and bundled third-party notices
Tests/CopoolTests/AccountsActionPresentationTests.swift,upstream_modified,3499,MIT; see LICENSE and bundled third-party notices
Tests/CopoolTests/AccountsCoordinatorTests.swift,upstream_modified,260793,MIT; see LICENSE and bundled third-party notices
Tests/CopoolTests/AccountsIdentityRegressionTests.swift,upstream_modified,13104,MIT; see LICENSE and bundled third-party notices
Tests/CopoolTests/AccountsSnapshotFreshnessPolicyTests.swift,upstream_identical,1467,MIT; see LICENSE and bundled third-party notices
Tests/CopoolTests/AccountsWidgetSnapshotBuilderTests.swift,upstream_modified,13426,MIT; see LICENSE and bundled third-party notices
Tests/CopoolTests/AccountsWidgetSnapshotStoreTests.swift,upstream_modified,8932,MIT; see LICENSE and bundled third-party notices
Tests/CopoolTests/AntiGravityAuthRepositoryTests.swift,local_addition,21580,MIT; see LICENSE and bundled third-party notices
Tests/CopoolTests/AntigravityAccountsCoordinatorTests.swift,local_addition,6446,MIT; see LICENSE and bundled third-party notices
Tests/CopoolTests/AntigravityNativeLoginTests.swift,local_addition,25127,MIT; see LICENSE and bundled third-party notices
Tests/CopoolTests/AppLocaleTests.swift,upstream_identical,884,MIT; see LICENSE and bundled third-party notices
Tests/CopoolTests/AppSettingsCodableTests.swift,upstream_modified,4399,MIT; see LICENSE and bundled third-party notices
Tests/CopoolTests/AppSmokeTests.swift,upstream_modified,19301,MIT; see LICENSE and bundled third-party notices
Tests/CopoolTests/AppTerminationSafetyTests.swift,local_addition,1209,MIT; see LICENSE and bundled third-party notices
Tests/CopoolTests/AuthFileRepositoryTests.swift,upstream_modified,16931,MIT; see LICENSE and bundled third-party notices
Tests/CopoolTests/CommandRunnerTimeoutTests.swift,upstream_modified,1387,MIT; see LICENSE and bundled third-party notices
Tests/CopoolTests/EndpointRequestCoordinatorTests.swift,upstream_identical,7934,MIT; see LICENSE and bundled third-party notices
Tests/CopoolTests/LayoutRulesTests.swift,upstream_identical,6327,MIT; see LICENSE and bundled third-party notices
Tests/CopoolTests/LiquidProgressMetricsTests.swift,upstream_modified,2496,MIT; see LICENSE and bundled third-party notices
Tests/CopoolTests/LocalQuotaManagementUsageServiceTests.swift,local_addition,8889,MIT; see LICENSE and bundled third-party notices
Tests/CopoolTests/LocalizationConsistencyTests.swift,upstream_identical,5149,MIT; see LICENSE and bundled third-party notices
Tests/CopoolTests/QuotaManagementPageModelTimeRangeTests.swift,local_addition,1788,MIT; see LICENSE and bundled third-party notices
Tests/CopoolTests/QuotaPricingProvenanceTests.swift,local_addition,5526,MIT; see LICENSE and bundled third-party notices
Tests/CopoolTests/SettingsControlPresentationTests.swift,upstream_modified,5128,MIT; see LICENSE and bundled third-party notices
Tests/CopoolTests/SettingsPageModelTests.swift,upstream_identical,7008,MIT; see LICENSE and bundled third-party notices
Tests/CopoolTests/SimpleHTTPServerTests.swift,upstream_identical,6959,MIT; see LICENSE and bundled third-party notices
Tests/CopoolTests/StoreFileRepositoryTests.swift,upstream_modified,18424,MIT; see LICENSE and bundled third-party notices
Tests/CopoolTests/UsageServiceTests.swift,upstream_modified,7439,MIT; see LICENSE and bundled third-party notices
Tests/CopoolTests/UsageWindowSelectorTests.swift,upstream_modified,1247,MIT; see LICENSE and bundled third-party notices
Tests/CopoolTests/WorkspaceMetadataServiceTests.swift,upstream_identical,6924,MIT; see LICENSE and bundled third-party notices
VERSION,local_addition,276,MIT; see LICENSE and bundled third-party notices
docs/PRIVACY.md,local_addition,3571,MIT; see LICENSE and bundled third-party notices
docs/PROVENANCE.md,local_addition,2113,MIT; see LICENSE and bundled third-party notices
docs/RELEASE-CHECKLIST.md,local_addition,2208,MIT; see LICENSE and bundled third-party notices
docs/RELEASE-READINESS-20260917.md,local_addition,1829,MIT; see LICENSE and bundled third-party notices
docs/ROADMAP.md,local_addition,1017,MIT; see LICENSE and bundled third-party notices
docs/TEST-CHECKLIST.md,local_addition,3184,MIT; see LICENSE and bundled third-party notices
docs/USER-GUIDE.md,local_addition,5548,MIT; see LICENSE and bundled third-party notices
docs/assets/accounts-demo.png,local_addition,116114,MIT; see LICENSE and bundled third-party notices
docs/assets/app-icon.png,local_addition,1259756,MIT; see LICENSE and bundled third-party notices
docs/assets/usage-demo.png,local_addition,160612,MIT; see LICENSE and bundled third-party notices
docs/release-macos.md,upstream_modified,2118,MIT; see LICENSE and bundled third-party notices
project.yml,upstream_modified,1445,MIT; see LICENSE and bundled third-party notices
scripts/antigravity_coordinator_driver.swift,local_addition,24245,MIT; see LICENSE and bundled third-party notices
scripts/build_antigravity_coordinator_driver.sh,local_addition,912,MIT; see LICENSE and bundled third-party notices
scripts/build_app.sh,local_addition,10886,MIT; see LICENSE and bundled third-party notices
scripts/generate_provenance.py,local_addition,1663,MIT; see LICENSE and bundled third-party notices
scripts/p1_keychain_quiet_driver.swift,local_addition,7392,MIT; see LICENSE and bundled third-party notices
scripts/p1_native_permission_terminal_driver.swift,local_addition,28727,MIT; see LICENSE and bundled third-party notices
scripts/release_macos.sh,upstream_modified,232,MIT; see LICENSE and bundled third-party notices
scripts/render_docs.sh,local_addition,1146,MIT; see LICENSE and bundled third-party notices
scripts/render_docs.swift,local_addition,6336,MIT; see LICENSE and bundled third-party notices
scripts/retain_local_versions.sh,local_addition,11817,MIT; see LICENSE and bundled third-party notices
scripts/run_tests.sh,local_addition,5338,MIT; see LICENSE and bundled third-party notices
scripts/sync_version.sh,local_addition,2366,MIT; see LICENSE and bundled third-party notices
scripts/testing/XCTestRuntime.swift,local_addition,11588,MIT; see LICENSE and bundled third-party notices
